JobID|JobName|State|ExitCode|Partition|NodeList|ReqTRES|AllocTRES|Submit|Start|End|Planned|Elapsed|ElapsedRaw|TotalCPU|CPUTimeRAW|MaxRSS|MaxVMSize|AveCPU|MaxDiskRead|MaxDiskWrite|ConsumedEnergy
140185_2.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:15:33||00:43:59|2639|02:29:07|21112|4993.24M|0|02:29:07|1608.49M|8997.62M|0
140185_3|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:18:47|00:00:01|00:47:13|2833|02:31:25|22664||||||
140185_3.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:18:47||00:47:13|2833|02:31:25|22664|5083.66M|0|02:31:25|1689.97M|9366.18M|0
140185_4|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog004|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:17:40|00:00:01|00:46:06|2766|02:10:04|22128||||||
140185_4.batch|batch|COMPLETED|0:0||dscog004||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:17:40||00:46:06|2766|02:10:04|22128|5618.82M|0|02:10:04|1744.57M|9425.26M|0
140185_5|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:17:22|00:00:01|00:45:48|2748|02:22:26|21984||||||
140185_5.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:17:22||00:45:48|2748|02:22:26|21984|5039.45M|0|02:22:26|1611.37M|9277.41M|0
140185_6|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:14:46|00:00:01|00:43:12|2592|02:22:10|20736||||||
140185_6.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:14:46||00:43:12|2592|02:22:10|20736|5746.70M|0|02:22:09|1696.54M|9259.25M|0
140185_7|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:14:16|00:00:01|00:42:42|2562|02:18:08|20496||||||
